v1_tool,category,visibility,feature_id,feature,v2_state,intent,outcome
get_server_info,server,model+app,F01,Connection and runtime identity,retained,documented,"get_status advertises coordinated release, separate fingerprints, host and capabilities."
get_document_change_overview,document-audit,model+app,F38,Document change overview,partial,documented,Per-job status/report and bounded activity replace the tracked MCP mutation overview; there is no equivalent global audit/change-history view.
execute_code,automation,model+app,F36,Live Python execution,native-route,documented,General Python execution is deliberately absent from MCP. Workspace scripts/native CLI or authorized in-app routes are used; saved CLI copies do not see unsaved live state.
execute_code_with_context,automation,model+app,F36,Live Python execution,native-route,documented,General Python execution is deliberately absent from MCP. Workspace scripts/native CLI or authorized in-app routes are used; saved CLI copies do not see unsaved live state.
docs_search,documentation,model+app,F37,Documentation search and retrieval,retained,documented,Bundled offline corpus plus local docs.py search/get replaces MCP docs tools; bounded results and provenance retained.
docs_get,documentation,model+app,F37,Documentation search and retrieval,retained,documented,Bundled offline corpus plus local docs.py search/get replaces MCP docs tools; bounded results and provenance retained.
list_open_fonts,font,model+app,F02,Open-document discovery and targeting,retained,documented,"list_documents returns live document IDs, paths, family names and dirty state; IDs replace font indices."
get_font_glyphs,font,model+app,F03,Glyph inventory and metadata,partial,decision-needed,"Known names expose five fields. No glyph enumeration, layerCount or kerning-group fields; get_glyph_details also formerly supplied script/productionName."
get_font_masters,font,model+app,F04,Master metrics and axes,partial,decision-needed,"Native ID/name enumeration retained. Weight/width axis values, italicAngle, ascender, capHeight, descender and xHeight are absent from reads."
set_master_italic_angle,font,model+app,F18,Master italic angle and stem editing,native-route,documented-with-workflow-gap,No master metadata/stem setter. Slant uses a requested angle and does not set the master italicAngle property.
get_font_instances,font,model+app,F05,Instances,omitted,decision-needed,"No instance entity or list; native coding can inspect instances, but no focused equivalent inspection route is shipped."
get_glyph_details,outlines,model+app,F06,"Layer inventory, geometry and components",partial,decision-needed,"Known exact layer IDs expose metrics/bounds/hash; selected nodes have details. No per-glyph layer enumeration, associatedMasterId, full paths/shape indices, anchor/path/component counts or component transforms/alignment reads."
get_font_kerning,kerning,model+app,F09,Stored kerning and group discovery,partial,decision-needed,"Exact named/group-key values, absent versus zero and LTR/RTL/vertical retained. No pair-table enumeration or glyph-group membership reads. Collision reports reveal keys for prepared pairs only."
get_selected_glyphs,selection,model+app,F07,Font View selection and current context,partial,decision-needed,"Selection resolves currentTab.activeLayer only. Font View multi-selection, selectedFontMaster, explicit frontmost document, UPM and font/version counts are not returned."
get_selected_font_and_master,selection,model+app,F07,Font View selection and current context,partial,decision-needed,"Selection resolves currentTab.activeLayer only. Font View multi-selection, selectedFontMaster, explicit frontmost document, UPM and font/version counts are not returned."
get_selected_nodes,selection,model+app,F08,Selected Edit View nodes,retained,documented,"selection.context.v1 supplies exact active glyph/layer, counts and optional bounded nodes, default 64/max 256. Rich v1 repeated metadata and master correspondence are not returned."
get_litsquare_metadata,litsquare,model+app,F25,LitSquare metadata and semantic roles,omitted,documented,Metadata Inspector and LitSquare UI/tools were explicitly removed from the lean bridge; stored native metadata is not intentionally deleted.
get_selected_litsquare_path_roles,litsquare,model+app,F25,LitSquare metadata and semantic roles,omitted,documented,Metadata Inspector and LitSquare UI/tools were explicitly removed from the lean bridge; stored native metadata is not intentionally deleted.
get_icon_grid_horizontal_center,litsquare,model+app,F26,IconGrid fixed-centering integration,omitted,documented,Standalone Icon Grid remains independent; the MCP read/set/reset policy is not ported or advertised.
patch_litsquare_metadata,litsquare,model+app,F25,LitSquare metadata and semantic roles,omitted,documented,Metadata Inspector and LitSquare UI/tools were explicitly removed from the lean bridge; stored native metadata is not intentionally deleted.
set_litsquare_path_roles,litsquare,model+app,F25,LitSquare metadata and semantic roles,omitted,documented,Metadata Inspector and LitSquare UI/tools were explicitly removed from the lean bridge; stored native metadata is not intentionally deleted.
set_icon_grid_horizontal_center,litsquare,model+app,F26,IconGrid fixed-centering integration,omitted,documented,Standalone Icon Grid remains independent; the MCP read/set/reset policy is not ported or advertised.
reset_icon_grid_horizontal_center,litsquare,model+app,F26,IconGrid fixed-centering integration,omitted,documented,Standalone Icon Grid remains independent; the MCP read/set/reset policy is not ported or advertised.
get_glyph_paths,outlines,model+app,F06,"Layer inventory, geometry and components",partial,decision-needed,"Known exact layer IDs expose metrics/bounds/hash; selected nodes have details. No per-glyph layer enumeration, associatedMasterId, full paths/shape indices, anchor/path/component counts or component transforms/alignment reads."
review_start_node_alignment,outlines,model+app,F16,Start-node alignment,retained,documented,"start_nodes retains tested correspondence on one selected contour, preserving reference phase. Refuses malformed, ambiguous, open or mismatched contours."
apply_start_node_alignment,outlines,model+app,F16,Start-node alignment,retained,documented,"start_nodes retains tested correspondence on one selected contour, preserving reference phase. Refuses malformed, ambiguous, open or mismatched contours."
update_glyph_node_positions,outlines,model+app,F19,Node coordinates and path replacement,native-route,documented,"General outline changes use authored native scripts/UI. RV01/RV02 qualified selected move/add/remove/extrema/split tasks, not arbitrary path replacement."
set_glyph_paths,outlines,model+app,F19,Node coordinates and path replacement,native-route,documented,"General outline changes use authored native scripts/UI. RV01/RV02 qualified selected move/add/remove/extrema/split tasks, not arbitrary path replacement."
get_glyph_components,components,model+app,F06,"Layer inventory, geometry and components",partial,decision-needed,"Known exact layer IDs expose metrics/bounds/hash; selected nodes have details. No per-glyph layer enumeration, associatedMasterId, full paths/shape indices, anchor/path/component counts or component transforms/alignment reads."
add_component_to_glyph,components,model+app,F20,"Components, anchors and corner hints",native-route,documented-with-workflow-gap,"No corresponding public edit job. Native APIs/UI remain available, but current realistic tests do not qualify all three v1 edit outcomes."
add_anchor_to_glyph,components,model+app,F20,"Components, anchors and corner hints",native-route,documented-with-workflow-gap,"No corresponding public edit job. Native APIs/UI remain available, but current realistic tests do not qualify all three v1 edit outcomes."
add_corner_to_all_masters,components,model+app,F20,"Components, anchors and corner hints",native-route,documented-with-workflow-gap,"No corresponding public edit job. Native APIs/UI remain available, but current realistic tests do not qualify all three v1 edit outcomes."
create_glyph,glyph-editing,model+app,F21,"Glyph creation, deletion, copying and properties",native-route,documented,The seven tools do not expose general glyph CRUD; native scripting/development is the documented route.
delete_glyph,glyph-editing,model+app,F21,"Glyph creation, deletion, copying and properties",native-route,documented,The seven tools do not expose general glyph CRUD; native scripting/development is the documented route.
update_glyph_properties,glyph-editing,model+app,F21,"Glyph creation, deletion, copying and properties",native-route,documented,The seven tools do not expose general glyph CRUD; native scripting/development is the documented route.
copy_glyph,glyph-editing,model+app,F21,"Glyph creation, deletion, copying and properties",native-route,documented,The seven tools do not expose general glyph CRUD; native scripting/development is the documented route.
update_glyph_metrics,glyph-editing,model+app,F10,Width and exact sidebearing edits,partial,documented-with-workflow-gap,"width_delta is additive across all stored layers, including backups/special layers. No single-master filter or arbitrary absolute width/LSB/RSB setter. Spacing suggestions are not equivalent absolute setters."
save_font,persistence,model+app,F35,Save and persistence,native-route,documented,"Native Save is acceptance, with task authorization. No MCP save command; jobs require a saved clean source."
get_custom_parameters,parameters,model+app,F22,Custom parameters,native-route,documented-with-workflow-gap,No custom-parameter entity or setter; font/master/instance native APIs are available through coding.
set_custom_parameters,parameters,model+app,F22,Custom parameters,native-route,documented-with-workflow-gap,No custom-parameter entity or setter; font/master/instance native APIs are available through coding.
list_style_sets,features,model+app,F23,OpenType and stylistic sets,partial,documented-with-workflow-gap,RV02 supplies focused feature source review/edit/compile/export/shaping guidance. v1 one-call stylistic-set substitution listing and group deep links are not recreated.
set_kerning_pair,kerning,model+app,F14,Arbitrary kerning pair/group edits,native-route,documented-with-workflow-gap,No public arbitrary set/remove pair operation. Collision jobs only generate measured positive corrections; raw bridge patch mechanics are not public tools.
generate_kerning_tab,kerning,app-only,F15,Kerning proof tabs,native-route,documented-with-workflow-gap,Native tabs can be opened via UI/scripts; the dedicated bounded proof generator is not in the seven tools.
review_kerning_bumper,kerning,model+app,F13,Collision kerning review and repair,partial,documented,"Explicit LTR pair corrections retained with native effective resolution and exact exceptions. No automatic v1 relevant-pair discovery, kerning proof-tab option or complete option parity."
apply_kerning_bumper,kerning,model+app,F13,Collision kerning review and repair,partial,documented,"Explicit LTR pair corrections retained with native effective resolution and exact exceptions. No automatic v1 relevant-pair discovery, kerning proof-tab option or complete option parity."
set_spacing_guides,spacing,model+app,F12,Spacing guides and persistent spacing parameters,omitted,documented-with-workflow-gap,No guide-writing job or dedicated persistent-parameter write; options belong to each prepared job. Native guides remain available.
review_spacing,spacing,model+app,F11,Spacing review and application,partial,documented,"External spacing retains reference/area policy, class-aware selection, fractions and native alignment protections. v1 rules/defaults/guards/debug parameter surface is intentionally reduced."
apply_spacing,spacing,model+app,F11,Spacing review and application,partial,documented,"External spacing retains reference/area policy, class-aware selection, fractions and native alignment protections. v1 rules/defaults/guards/debug parameter surface is intentionally reduced."
set_spacing_params,spacing,model+app,F12,Spacing guides and persistent spacing parameters,omitted,documented-with-workflow-gap,No guide-writing job or dedicated persistent-parameter write; options belong to each prepared job. Native guides remain available.
